Unnamed: 0,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,Date
2951,19.2,27.9,13.4,1017,64,9,2.6,13.0,25,271,2022-02-26
2555,13.8,20.0,8.0,1013,83,0,0.8,7.0,13,188,2021-01-23
2509,17.7,27.2,9.5,1016,78,0,1.0,0.9,3,194,2020-12-08
3017,33.1,40.8,28.5,1002,54,0,1.9,6.1,7,217,2022-05-03
1459,13.2,20.8,6.4,1015,69,0,1.4,8.5,14,191,2018-01-07
2688,36.1,41.2,28.6,996,42,0,3.2,12.0,24,69,2021-06-08
655,28.2,36.1,21.9,1011,70,0,1.9,3.5,9,170,2015-10-19
1391,22.5,32.6,16.7,1014,78,0,1.4,0.0,-1,196,2017-10-30
361,8.9,18.3,2.6,1019,88,0,0.2,0.7,5,148,2014-12-28
135,31.1,36.7,25.0,1003,46,0,2.6,9.4,22,239,2014-05-16
1926,34.4,43.7,24.4,999,39,0,2.6,5.4,13,111,2019-05-01
2357,33.1,38.0,27.4,996,68,0,3.1,7.8,11,28,2020-07-09
1874,18.2,24.0,11.0,1011,62,0,2.6,7.2,18,83,2019-03-06
2857,17.1,28.0,9.2,1013,73,0,0.8,1.3,5,199,2021-11-24
366,15.0,16.8,13.6,1017,94,7,0.5,0.9,7,87,2015-01-03
3093,33.4,38.2,27.8,999,77,0,1.9,3.7,7,23,2022-07-18
29,14.4,20.5,10.2,1019,87,0,0.3,0.9,3,199,2014-01-30
2715,34.1,39.8,28.0,1000,52,0,3.4,7.4,14,41,2021-07-05
22,15.6,20.0,12.4,1020,91,-1,0.8,6.7,11,388,2014-01-23
1272,32.0,37.0,26.7,996,75,0,2.3,3.7,9,46,2017-07-03
1055,23.4,30.0,14.6,1012,33,0,2.6,14.1,27,136,2016-11-25
3088,31.5,37.1,26.8,996,76,0,2.3,4.4,9,36,2022-07-13
1233,36.4,41.6,28.5,999,36,0,3.4,4.3,11,113,2017-05-25
420,20.0,27.6,14.5,1009,42,0,1.9,6.7,11,140,2015-02-26
1651,32.9,37.2,28.6,997,71,0,1.9,7.2,11,37,2018-07-18
460,23.9,31.4,19.2,1010,69,0,1.9,9.8,13,66,2015-04-07
43,15.3,22.6,5.6,1013,67,0,1.6,4.8,11,359,2014-02-13
87,25.8,31.7,19.0,1011,61,0,1.8,8.3,16,219,2014-03-29
1195,33.0,40.6,22.0,1002,29,0,3.2,8.5,24,176,2017-04-15
1128,16.1,23.5,8.6,1015,62,0,2.9,10.2,18,77,2017-02-07
2915,14.1,19.4,7.6,1011,82,0,0.5,3.7,9,95,2022-01-21
561,30.9,37.5,27.0,997,80,0,1.9,4.4,13,77,2015-07-17
282,27.0,34.6,20.3,1008,62,0,1.9,3.1,14,270,2014-10-10
805,26.2,32.2,20.0,1009,63,0,2.6,6.7,14,72,2016-03-18
3118,32.1,37.2,26.4,998,67,0,2.6,8.9,14,11,2022-08-12
859,35.4,40.0,26.5,1001,43,0,2.4,5.0,14,100,2016-05-12
3089,32.2,38.4,28.4,996,73,0,1.9,7.2,11,47,2022-07-14
997,31.4,35.2,26.0,1005,62,0,3.1,2.0,7,52,2016-09-27
533,35.9,41.6,29.0,996,54,0,1.9,8.5,18,110,2015-06-19
1577,32.3,38.4,25.6,1004,49,0,2.7,4.3,9,74,2018-05-05
2663,30.9,37.0,23.2,1002,49,0,3.1,8.5,13,44,2021-05-14
1074,18.0,26.6,10.5,1017,61,0,1.9,8.0,14,154,2016-12-14
2517,11.9,18.5,5.8,1021,81,0,1.4,7.4,11,130,2020-12-16
2561,11.7,20.4,4.0,1018,77,0,0.8,5.4,9,229,2021-01-29
2597,27.5,34.0,18.8,1011,66,0,2.6,7.2,11,117,2021-03-09
2298,29.3,35.5,20.7,1007,58,0,1.9,6.1,9,43,2020-05-11
940,29.1,32.6,26.4,998,85,-1,1.8,5.9,13,43,2016-08-01
3211,19.4,28.3,12.6,1014,69,0,1.6,3.9,11,203,2022-11-13
978,31.3,35.0,26.0,1004,63,0,3.2,11.5,18,71,2016-09-08
2626,28.7,38.2,21.7,1008,40,0,1.9,6.3,11,74,2021-04-07
1106,14.1,24.0,8.6,1017,81,0,1.1,10.4,20,188,2017-01-16
637,28.1,35.3,21.5,1011,56,0,2.6,5.6,13,85,2015-10-01
869,36.7,43.0,28.8,995,49,0,2.7,6.5,11,66,2016-05-22
949,31.4,35.5,27.5,999,74,-1,2.6,10.0,18,39,2016-08-10
881,37.6,43.0,28.7,1001,42,0,2.4,2.8,11,138,2016-06-03
2424,32.7,37.0,27.5,1002,70,0,2.9,2.0,7,64,2020-09-14
2384,30.9,36.3,28.0,994,86,12,1.9,5.2,13,35,2020-08-05
2892,13.3,20.8,8.4,1020,75,4,0.8,3.1,9,126,2021-12-29
2299,31.2,37.0,24.3,1006,53,0,2.3,7.0,9,43,2020-05-12
1660,26.7,28.7,25.2,996,95,45,1.9,3.1,13,21,2018-07-27
221,28.8,32.5,27.6,1000,88,76,1.9,3.5,13,94,2014-08-10
543,31.1,39.0,26.2,1004,64,0,1.9,11.7,18,48,2015-06-29
2925,13.9,22.2,6.4,1012,82,0,0.6,4.4,13,147,2022-01-31
2330,35.6,40.6,30.3,996,60,0,1.9,5.0,11,64,2020-06-12
685,18.6,28.6,11.0,1016,62,0,1.4,4.4,11,188,2015-11-18
3173,26.6,34.0,22.4,1008,79,0,1.8,7.8,13,191,2022-10-06
3066,30.2,34.5,24.9,998,67,0,2.6,8.0,18,51,2022-06-21
1999,27.0,33.4,24.0,1000,85,22,2.4,5.9,9,32,2019-07-17
2989,28.8,38.2,19.0,1009,35,0,2.6,5.2,14,148,2022-04-05
2871,15.9,25.1,10.1,1017,73,0,1.8,2.4,7,119,2021-12-08
