,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,Date
0,13.2,18.2,9.2,1021,92,0,0.8,7.6,11,237,2014-01-01
1,11.1,18.3,5.0,1020,80,0,1.1,8.0,14,304,2014-01-02
2,12.7,19.8,5.2,1017,78,0,1.3,5.4,14,298,2014-01-03
3,12.8,19.8,7.2,1016,90,0,0.5,1.1,5,275,2014-01-04
4,12.4,19.3,7.8,1014,91,0,0.3,0.4,3,261,2014-01-05
5,11.4,17.6,6.6,1017,88,0,0.6,6.3,-1,282,2014-01-06
6,12.2,19.7,6.1,1018,74,0,1.0,3.9,-1,350,2014-01-07
7,11.9,20.7,4.4,1017,78,0,0.8,1.9,7,411,2014-01-08
8,11.7,20.7,6.5,1017,89,0,0.3,0.9,7,361,2014-01-09
9,12.2,20.2,5.0,1016,88,0,0.3,0.0,-1,369,2014-01-10
10,12.0,20.2,7.1,1019,85,0,0.8,6.7,14,342,2014-01-11
11,12.8,20.6,6.3,1020,83,0,0.8,3.1,9,316,2014-01-12
12,13.9,21.6,7.0,1019,74,0,0.8,1.1,9,309,2014-01-13
13,14.9,22.1,8.9,1017,78,0,1.0,2.8,7,351,2014-01-14
14,12.0,22.1,9.6,1019,95,0,0.3,0.4,3,360,2014-01-15
15,12.3,17.7,9.0,1019,92,0,0.5,1.7,7,264,2014-01-16
16,12.0,17.7,8.0,1017,96,0,0.6,1.1,9,287,2014-01-17
17,12.6,15.7,10.2,1020,95,4,0.6,1.9,11,301,2014-01-18
18,14.5,21.0,8.6,1023,88,0,1.3,3.5,7,336,2014-01-19
19,14.6,22.3,9.0,1021,86,0,1.0,4.4,9,349,2014-01-20
20,13.4,22.3,11.5,1020,98,5,1.4,6.9,13,398,2014-01-21
21,15.3,17.8,12.7,1019,97,1,1.1,6.9,9,393,2014-01-22
22,15.6,20.0,12.4,1020,91,-1,0.8,6.7,11,388,2014-01-23
23,13.9,20.0,11.0,1019,91,0,0.8,8.1,13,380,2014-01-24
24,11.7,18.2,9.4,1019,96,0,0.5,8.3,11,313,2014-01-25
25,14.3,20.3,9.9,1019,88,0,0.6,8.9,14,294,2014-01-26
26,16.6,24.0,10.1,1018,75,0,1.3,10.0,14,174,2014-01-27
27,16.6,24.0,9.5,1016,71,0,1.1,7.4,14,179,2014-01-28
28,15.1,24.0,10.0,1018,85,0,0.5,4.6,11,185,2014-01-29
29,14.4,20.5,10.2,1019,87,0,0.3,0.9,3,199,2014-01-30
30,14.8,21.1,10.0,1019,86,0,0.5,3.0,11,220,2014-01-31
31,13.9,21.1,10.8,1019,83,0,0.8,2.6,7,232,2014-02-01
32,15.3,24.4,6.8,1016,79,0,0.6,1.9,7,240,2014-02-02
33,18.6,27.8,8.9,1014,65,0,1.3,5.6,57,253,2014-02-03
34,18.8,27.8,12.6,1010,68,0,1.3,4.8,72,250,2014-02-04
35,17.1,25.7,11.8,1011,74,0,1.3,1.7,7,255,2014-02-05
36,18.7,25.6,10.0,1010,70,0,1.4,6.1,14,287,2014-02-06
37,19.7,26.4,15.1,1009,72,0,1.6,15.0,29,248,2014-02-07
38,13.8,26.4,9.6,1011,88,0,1.0,8.1,14,251,2014-02-08
39,12.7,19.5,7.0,1012,66,0,1.4,9.3,25,280,2014-02-09
40,12.5,20.0,4.6,1012,64,0,1.6,3.7,18,344,2014-02-10
41,13.4,21.6,5.6,1013,67,0,1.4,3.7,11,340,2014-02-11
42,13.3,21.6,6.6,1013,69,0,1.4,9.3,24,358,2014-02-12
43,15.3,22.6,5.6,1013,67,0,1.6,4.8,11,359,2014-02-13
44,13.1,22.6,11.0,1011,97,23,1.1,5.4,11,351,2014-02-14
45,12.6,17.7,9.2,1012,91,16,0.6,3.9,7,382,2014-02-15
46,14.2,19.6,7.2,1016,79,0,1.3,9.4,18,364,2014-02-16
47,15.1,21.5,9.6,1017,71,0,1.3,12.8,33,304,2014-02-17
48,15.3,23.2,9.5,1017,64,0,1.4,8.9,20,287,2014-02-18
49,15.1,23.3,7.1,1016,77,0,0.8,1.9,7,309,2014-02-19
50,16.1,24.5,8.2,1014,80,0,0.6,1.9,9,267,2014-02-20
51,17.2,24.6,9.0,1014,75,0,1.4,8.9,14,238,2014-02-21
52,16.5,24.6,12.5,1017,87,0,0.8,6.3,11,236,2014-02-22
53,16.6,22.3,12.0,1019,83,0,0.6,7.8,14,241,2014-02-23
54,16.3,22.8,10.0,1018,71,0,1.8,5.2,14,235,2014-02-24
55,17.9,25.2,10.3,1017,70,0,1.1,0.9,7,229,2014-02-25
56,18.9,26.2,12.5,1014,72,0,1.3,2.4,9,222,2014-02-26
57,18.6,25.3,13.0,1013,80,0,1.1,7.2,22,186,2014-02-27
58,15.7,25.3,12.0,1013,90,8,1.3,5.7,14,171,2014-02-28
59,16.3,21.3,12.0,1015,90,9,1.1,4.3,13,184,2014-03-01
60,16.1,21.8,10.0,1017,82,0,1.3,5.7,11,196,2014-03-02
61,17.8,25.7,10.5,1016,67,0,2.1,3.7,11,189,2014-03-03
62,18.8,26.2,12.0,1016,69,0,1.4,3.7,11,173,2014-03-04
63,19.5,26.9,13.8,1015,66,0,1.8,4.1,9,181,2014-03-05
64,18.8,25.7,13.6,1016,64,0,2.1,4.4,11,184,2014-03-06
65,18.4,25.9,11.0,1017,65,0,2.3,6.7,14,197,2014-03-07
66,19.8,27.1,12.8,1017,66,0,2.6,9.8,24,214,2014-03-08
67,22.3,29.0,14.0,1014,61,0,2.3,5.0,13,202,2014-03-09
68,20.0,23.5,17.6,1013,72,2,1.9,11.1,22,201,2014-03-10
69,20.6,26.8,15.2,1013,74,0,2.3,15.6,25,223,2014-03-11
70,20.0,27.1,13.5,1016,74,9,2.7,6.5,11,220,2014-03-12
