,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Month,Year
1,13.2,18.2,9.2,1021,92,0,0.8,7.6,11.1,-, , , ,o,1,2014
2,11.1,18.3,5,1020.2,80,0,1.1,8,14.8,-, , , ,o,1,2014
3,12.7,19.8,5.2,1017.9,78,0,1.3,5.4,14.8,-, , , , ,1,2014
4,12.8,19.8,7.2,1016.2,90,0,0.5,1.1,5.4,-, , , ,o,1,2014
5,12.4,19.3,7.8,1014.5,91,0,0.3,0.4,3.5,-, , , ,o,1,2014
6,11.4,17.6,6.6,1017.5,88,0,0.6,6.3,-,-, , , ,o,1,2014
7,12.2,19.7,6.1,1018,74,0,1,3.9,-,-, , , ,o,1,2014
8,11.9,20.7,4.4,1017.9,78,0,0.8,1.9,7.6,-, , , ,o,1,2014
9,11.7,20.7,6.5,1017.3,89,0,0.3,0.9,7.6,-, , , ,o,1,2014
10,12.2,20.2,5,1016.6,88,0,0.3,0,-,-, , , ,o,1,2014
11,12,20.2,7.1,1019.5,85,0,0.8,6.7,14.8,-, , , ,o,1,2014
12,12.8,20.6,6.3,1020.8,83,0,0.8,3.1,9.4,-, , , ,o,1,2014
13,13.9,21.6,7,1019.6,74,0,0.8,1.1,9.4,-, , , ,o,1,2014
14,14.9,22.1,8.9,1017.2,78,0,1,2.8,7.6,-, , , ,o,1,2014
15,12,22.1,9.6,1019.7,95,0,0.3,0.4,3.5,-, , , ,o,1,2014
16,12.3,17.7,9,1019.7,92,0,0.5,1.7,7.6,-, , , ,o,1,2014
17,12,17.7,8,1017.6,96,0,0.6,1.1,9.4,-,o, , ,o,1,2014
18,12.6,15.7,10.2,1020.1,95,4.06,0.6,1.9,11.1,-,o, , ,o,1,2014
19,14.5,21,8.6,1023.2,88,0,1.3,3.5,7.6,-, , , ,o,1,2014
20,14.6,22.3,9,1021.2,86,0,1,4.4,9.4,-, , , ,o,1,2014
21,13.4,22.3,11.5,1020.6,98,5.08,1.4,6.9,13,-,o, , ,o,1,2014
22,15.3,17.8,12.7,1019.8,97,1.02,1.1,6.9,9.4,-,o, , , ,1,2014
23,15.6,20,12.4,1020.3,91,-,0.8,6.7,11.1,-,o, , ,o,1,2014
24,13.9,20,11,1019.3,91,0,0.8,8.1,13,-, , , ,o,1,2014
25,11.7,18.2,9.4,1019.9,96,0,0.5,8.3,11.1,-, , , ,o,1,2014
26,14.3,20.3,9.9,1019.1,88,0,0.6,8.9,14.8,-, , , ,o,1,2014
27,16.6,24,10.1,1018.8,75,0,1.3,10,14.8,-, , , ,o,1,2014
28,16.6,24,9.5,1016.6,71,0,1.1,7.4,14.8,-, , , ,o,1,2014
29,15.1,24,10,1018.5,85,0,0.5,4.6,11.1,-, , , ,o,1,2014
30,14.4,20.5,10.2,1019.3,87,0,0.3,0.9,3.5,-, , , ,o,1,2014
31,14.8,21.1,10,1019.3,86,0,0.5,3,11.1,-, , , ,o,1,2014
1,13.9,21.1,10.8,1019.8,83,0,0.8,2.6,7.6,-, , , ,o,2,2014
2,15.3,24.4,6.8,1016.9,79,0,0.6,1.9,7.6,-, , , ,o,2,2014
3,18.6,27.8,8.9,1014.4,65,0,1.3,5.6,57.6,-, , , ,o,2,2014
4,18.8,27.8,12.6,1010.9,68,0,1.3,4.8,72,-, , , ,o,2,2014
5,17.1,25.7,11.8,1011.5,74,0,1.3,1.7,7.6,-, , , ,o,2,2014
6,18.7,25.6,10,1010.8,70,0,1.4,6.1,14.8,-,o, , ,o,2,2014
7,19.7,26.4,15.1,1009.3,72,0,1.6,15,29.4,-, , , ,o,2,2014
8,13.8,26.4,9.6,1011.3,88,0,1,8.1,14.8,-, , , ,o,2,2014
9,12.7,19.5,7,1012,66,0,1.4,9.3,25.9,-, , , , ,2,2014
10,12.5,20,4.6,1012.4,64,0,1.6,3.7,18.3,-, , , , ,2,2014
11,13.4,21.6,5.6,1013.6,67,0,1.4,3.7,11.1,-, , , , ,2,2014
12,13.3,21.6,6.6,1013.5,69,0,1.4,9.3,24.1,-, , , , ,2,2014
13,15.3,22.6,5.6,1013.6,67,0,1.6,4.8,11.1,-, , , , ,2,2014
14,13.1,22.6,11,1011.8,97,23.11,1.1,5.4,11.1,-,o, ,o, ,2,2014
15,12.6,17.7,9.2,1012.6,91,16,0.6,3.9,7.6,-, , , ,o,2,2014
16,14.2,19.6,7.2,1016.2,79,0,1.3,9.4,18.3,-, , , ,o,2,2014
17,15.1,21.5,9.6,1017.7,71,0,1.3,12.8,33.5,-, , , , ,2,2014
18,15.3,23.2,9.5,1017.4,64,0,1.4,8.9,20.6,-, , , , ,2,2014
19,15.1,23.3,7.1,1016.7,77,0,0.8,1.9,7.6,-, , , , ,2,2014
20,16.1,24.5,8.2,1014.8,80,0,0.6,1.9,9.4,-, , , ,o,2,2014
21,17.2,24.6,9,1014.2,75,0,1.4,8.9,14.8,-, , , , ,2,2014
22,16.5,24.6,12.5,1017.5,87,0,0.8,6.3,11.1,-, , , ,o,2,2014
23,16.6,22.3,12,1019.4,83,0,0.6,7.8,14.8,-, , , ,o,2,2014
24,16.3,22.8,10,1018.7,71,0,1.8,5.2,14.8,-, , , ,o,2,2014
25,17.9,25.2,10.3,1017.4,70,0,1.1,0.9,7.6,-, , , ,o,2,2014
26,18.9,26.2,12.5,1014.4,72,0,1.3,2.4,9.4,-, , , , ,2,2014
27,18.6,25.3,13,1013.3,80,0.25,1.1,7.2,22.2,-,o, ,o, ,2,2014
28,15.7,25.3,12,1013.1,90,8.89,1.3,5.7,14.8,-,o, ,o, ,2,2014
1,16.3,21.3,12,1015.1,90,9.91,1.1,4.3,13,-, , , , ,3,2014
2,16.1,21.8,10,1017.1,82,0,1.3,5.7,11.1,-, , , ,o,3,2014
3,17.8,25.7,10.5,1016.3,67,0,2.1,3.7,11.1,-, , , , ,3,2014
4,18.8,26.2,12,1016.5,69,0,1.4,3.7,11.1,-, , , , ,3,2014
5,19.5,26.9,13.8,1015.9,66,0,1.8,4.1,9.4,-, , , , ,3,2014
6,18.8,25.7,13.6,1016.1,64,0,2.1,4.4,11.1,-, , , , ,3,2014
7,18.4,25.9,11,1017,65,0,2.3,6.7,14.8,-, , , , ,3,2014
8,19.8,27.1,12.8,1017.2,66,0,2.6,9.8,24.1,-, , , , ,3,2014
9,22.3,29,14,1014.6,61,0,2.3,5,13,-, , , , ,3,2014
10,20,23.5,17.6,1013.9,72,2.03,1.9,11.1,22.2,-,o, ,o, ,3,2014
11,20.6,26.8,15.2,1013.7,74,0.51,2.3,15.6,25.9,-,o, ,o, ,3,2014
12,20,27.1,13.5,1016.4,74,9.91,2.7,6.5,11.1,-, , , , ,3,2014
13,18.9,27.1,12.8,1016.1,65,0,2.6,9.8,18.3,-, , , , ,3,2014
14,19.7,27.6,12,1015.2,66,0,1.9,5.7,13,-, , , , ,3,2014
