Day,Month,Year,PM2.5
1,1,2014,237
2,1,2014,304
3,1,2014,298
4,1,2014,275
5,1,2014,261
6,1,2014,282
7,1,2014,350
8,1,2014,411
9,1,2014,361
10,1,2014,369
11,1,2014,342
12,1,2014,316
13,1,2014,309
14,1,2014,351
15,1,2014,360
16,1,2014,264
17,1,2014,287
18,1,2014,301
19,1,2014,336
20,1,2014,349
21,1,2014,398
22,1,2014,393
23,1,2014,388
24,1,2014,380
25,1,2014,313
26,1,2014,294
27,1,2014,174
28,1,2014,179
29,1,2014,185
30,1,2014,199
31,1,2014,220
1,2,2014,232
2,2,2014,240
3,2,2014,253
4,2,2014,250
5,2,2014,255
6,2,2014,287
7,2,2014,248
8,2,2014,251
9,2,2014,280
10,2,2014,344
11,2,2014,340
12,2,2014,358
13,2,2014,359
14,2,2014,351
15,2,2014,382
16,2,2014,364
17,2,2014,304
18,2,2014,287
19,2,2014,309
20,2,2014,267
21,2,2014,238
22,2,2014,236
23,2,2014,241
24,2,2014,235
25,2,2014,229
26,2,2014,222
27,2,2014,186
28,2,2014,171
1,3,2014,184
2,3,2014,196
3,3,2014,189
4,3,2014,173
5,3,2014,181
6,3,2014,184
7,3,2014,197
8,3,2014,214
9,3,2014,202
10,3,2014,201
11,3,2014,223
12,3,2014,220
13,3,2014,182
14,3,2014,180
15,3,2014,181
16,3,2014,190
17,3,2014,243
18,3,2014,250
19,3,2014,202
20,3,2014,188
21,3,2014,192
22,3,2014,197
23,3,2014,239
24,3,2014,302
25,3,2014,319
26,3,2014,324
27,3,2014,266
28,3,2014,209
29,3,2014,219
30,3,2014,237
31,3,2014,234
1,4,2014,227
2,4,2014,263
3,4,2014,256
4,4,2014,213
5,4,2014,160
6,4,2014,153
7,4,2014,165
8,4,2014,182
9,4,2014,186
10,4,2014,212
11,4,2014,207
12,4,2014,178
13,4,2014,193
14,4,2014,161
15,4,2014,164
16,4,2014,183
17,4,2014,187
18,4,2014,179
19,4,2014,176
20,4,2014,190
21,4,2014,195
22,4,2014,138
23,4,2014,97
24,4,2014,104
25,4,2014,108
26,4,2014,110
27,4,2014,130
28,4,2014,153
29,4,2014,155
30,4,2014,179
1,5,2014,194
2,5,2014,206
3,5,2014,207
4,5,2014,206
5,5,2014,234
6,5,2014,217
7,5,2014,164
8,5,2014,150
9,5,2014,150
10,5,2014,158
11,5,2014,166
12,5,2014,169
13,5,2014,169
14,5,2014,174
15,5,2014,172
16,5,2014,239
17,5,2014,263
18,5,2014,180
19,5,2014,154
20,5,2014,164
21,5,2014,172
22,5,2014,180
23,5,2014,178
24,5,2014,169
25,5,2014,179
26,5,2014,149
27,5,2014,136
28,5,2014,152
29,5,2014,164
30,5,2014,173
31,5,2014,168
1,6,2014,156
2,6,2014,155
3,6,2014,169
4,6,2014,148
5,6,2014,119
6,6,2014,122
7,6,2014,115
8,6,2014,130
9,6,2014,151
10,6,2014,151
11,6,2014,157
12,6,2014,166
13,6,2014,162
14,6,2014,135
15,6,2014,136
16,6,2014,175
17,6,2014,183
18,6,2014,182
19,6,2014,158
20,6,2014,138
21,6,2014,118
22,6,2014,138
23,6,2014,185
24,6,2014,192
25,6,2014,172
26,6,2014,145
27,6,2014,150
28,6,2014,186
29,6,2014,183
30,6,2014,175
1,7,2014,164
2,7,2014,166
3,7,2014,180
4,7,2014,183
5,7,2014,187
6,7,2014,189
7,7,2014,172
8,7,2014,167
9,7,2014,144
10,7,2014,128
11,7,2014,148
12,7,2014,150
13,7,2014,167
14,7,2014,153
15,7,2014,246
16,7,2014,195
17,7,2014,185
18,7,2014,163
19,7,2014,161
20,7,2014,163
21,7,2014,155
22,7,2014,148
23,7,2014,152
24,7,2014,186
25,7,2014,168
26,7,2014,162
27,7,2014,174
28,7,2014,175
29,7,2014,131
30,7,2014,125
31,7,2014,139
1,8,2014,148
2,8,2014,157
3,8,2014,160
4,8,2014,160
5,8,2014,159
6,8,2014,111
7,8,2014,106
8,8,2014,111
9,8,2014,102
10,8,2014,94
11,8,2014,107
12,8,2014,158
13,8,2014,177
14,8,2014,182
15,8,2014,196
16,8,2014,198
17,8,2014,202
18,8,2014,144
19,8,2014,109
20,8,2014,132
21,8,2014,159
22,8,2014,162
23,8,2014,163
24,8,2014,168
25,8,2014,170
26,8,2014,162
27,8,2014,154
28,8,2014,168
29,8,2014,160
30,8,2014,137
31,8,2014,111
1,9,2014,159
2,9,2014,134
3,9,2014,134
4,9,2014,144
5,9,2014,129
6,9,2014,147
7,9,2014,175
8,9,2014,165
9,9,2014,147
10,9,2014,140
11,9,2014,150
12,9,2014,158
13,9,2014,145
14,9,2014,136
15,9,2014,139
16,9,2014,130
17,9,2014,117
18,9,2014,135
19,9,2014,157
20,9,2014,151
21,9,2014,155
22,9,2014,155
23,9,2014,265
24,9,2014,265
25,9,2014,188
26,9,2014,190
27,9,2014,190
28,9,2014,172
29,9,2014,177
30,9,2014,192
1,10,2014,157
2,10,2014,143
3,10,2014,149
4,10,2014,149
5,10,2014,153
6,10,2014,212
7,10,2014,299
8,10,2014,299
9,10,2014,285
10,10,2014,270
11,10,2014,109
12,10,2014,76
13,10,2014,115
14,10,2014,258
15,10,2014,272
16,10,2014,164
