T,TM,Tm,SLP,H,VV,V,VM
10.8,20.2,2.4,1022.1,84,0.6,3.1,13
13.7,22,4.6,1020.9,80,0.8,2,7.6
14.4,23,7.6,1018.5,82,1.3,2,7.6
15,19.1,11.6,1016.2,88,1.3,5.4,7.6
13.2,19,11,1015.3,99,0.6,5,7.6
10.4,14.6,7.8,1020.8,89,0.8,6.3,9.4
14.2,23.4,8,1012.5,85,1,7.8,13
12.6,19.9,8.6,1016.3,89,1,4.3,9.4
13.7,19.8,6.4,1016.3,80,1,4.4,9.4
11,17.7,7,1019.8,87,1,9.8,16.5
11.9,16.7,8.3,1018.5,89,0.6,5.2,11.1
13.6,20,9.2,1019.7,87,0.6,3.5,9.4
11.6,21.1,4.8,1017.1,80,1.6,2.6,5.4
14.7,22.6,6.9,1015,73,1.3,5.2,13
15.5,22.7,8.5,1012.1,79,1,4.3,9.4
12.9,20.2,7.2,1016,77,1.6,6.7,13
12.3,19.7,5.7,1019.6,82,1.4,3.3,13
12.1,19.9,6,1020.3,83,1.1,5.7,13
12.9,21.2,5.4,1018.5,74,2.1,4.4,13
12.7,20.4,6.1,1019.7,79,1.1,3.9,7.6
13.7,20.8,7,1021.5,78,1.4,4.6,14.8
13.9,22.2,6.6,1021.6,77,1.6,3.1,11.1
20,27.4,12.3,1015,67,1.8,12,18.3
18.8,27.8,13.7,1012.8,63,1.8,13.9,18.3
18.2,25.4,11.5,1013.5,61,1.9,14.1,18.3
19.1,26.9,8.1,1013.5,70,1.9,8.9,18.3
21.8,27.2,13.6,1013,68,2.1,12.4,22.2
16.8,27.5,14.2,1018.3,85,2.6,9.8,16.5
19.3,26.4,13,1013.6,79,1.4,3.1,9.4
20.3,27.2,12.7,1014.2,73,1.4,4.3,14.8
20.7,27.4,13,1014.1,82,1.8,4.6,9.4
21.9,27.6,14.4,1012.9,77,1.9,3.1,7.6
21.2,27.8,14.6,1012.4,81,1.9,1.3,5.4
21.1,28.6,14.3,1010.7,72,1.9,3.7,11.1
17.3,22.4,13,1015.1,91,1.9,3.9,9.4
18,24.4,11.1,1015.8,79,1.9,5,11.1
18.3,25,12.4,1013.1,72,2.7,8.5,18.3
21.3,28,13.8,1014,63,2.6,5.6,9.4
18.5,28.3,15.6,1014.8,88,1.9,4.8,9.4
18.8,25,12,1016.9,78,1.6,4.8,11.1
23.2,29.8,16,1010.7,73,2.1,4.1,9.4
24.7,31.2,16.4,1009.5,72,1.9,3.7,7.6
23.6,31.4,17.8,1010.7,72,2.6,3.1,7.6
25.6,33,16.8,1010.9,70,3.1,5.6,14.8
24.1,33.3,19,1012.2,75,1.9,8.7,18.3
21.7,29.2,17.6,1014.3,80,2.6,7.4,14.8
24.5,32.2,16,1010.1,54,2.6,6.3,9.4
25.6,32.6,17.4,1009.9,56,2.3,6.3,9.4
24.8,32.7,18.4,1011.8,53,3.7,8.3,16.5
23.2,31,15.4,1011.7,51,3.1,7.2,14.8
26.7,35.8,17.6,1008.6,50,2.7,8.1,14.8
25.8,34.2,19.8,1009.9,49,3.5,6.1,13
24.6,33.5,13.5,1009.9,57,3.5,4.6,11.1
30.7,37.6,20.6,1007.2,49,3.5,6.7,14.8
31.1,39.2,23.2,1007.5,55,2.7,2.2,7.6
31.2,39.7,24,1006.6,40,2.7,5.6,14.8
27.3,37.3,19,1007,58,3.1,3.9,11.1
26.4,35.2,20.2,1008.6,58,3.1,5.6,14.8
27.2,34.2,19.2,1007.9,56,3.5,4.8,9.4
30.3,38.4,23.8,1004.7,55,4,5.6,11.1
24.4,37.9,20.4,1008,76,2.3,9.6,18.3
27.1,33.2,18.9,1010.9,70,2.7,12.8,18.3
31.8,38.8,24.6,1004.6,64,3.1,8.1,11.1
31.2,38.8,24.4,1005,65,2.7,10.9,14.8
27.2,37.9,22.6,1006.7,81,1.9,8.7,14.8
29.4,36.6,21.6,1006.2,43,3.2,5.4,11.1
32.2,39.2,23.7,1004.2,45,3.2,5.7,9.4
33.5,40.4,26.2,1004.8,48,2.3,6.5,11.1
30.2,37.2,26.2,1005.7,57,1.9,6.3,11.1
30.8,39.7,23.6,1004.7,55,2.7,7,11.1
31.8,39.7,23.6,1003.9,41,3.1,7.4,16.5
32.3,40.7,22.1,1000.1,33,2.6,3.1,11.1
32.7,40.7,22,999.6,29,3.5,7.2,11.1
33.2,41.4,24.8,998.5,31,4,7.4,14.8
36,44.4,27.2,999.7,34,3.1,9.4,22.2
37.6,45.6,28.2,998.2,30,3.5,10,18.3
37.5,46,28.4,996.5,26,4,9.4,13
25.8,34.8,20,1006.9,78,2.6,6.7,14.8
29.4,35,21,1006.3,66,3.1,3,5.4
30.9,36.4,24.8,1004.3,56,2.7,8.5,14.8
30.5,36.9,24.9,1002.6,63,2.7,4.6,9.4
29.3,36.8,23.2,1001.1,71,1.9,7.4,13
31.8,37.4,25.2,1000.4,63,1.9,5.2,18.3
34.3,39.6,26.9,999.9,56,3.2,5.4,13
32.6,41.5,28.8,998.5,68,1.9,5.9,9.4
35,40,28,999,57,3.1,8.1,11.1
35.7,41.2,28.6,996.8,54,3.7,8.3,11.1
36.6,42.5,29.8,997.8,53,3.2,9.4,11.1
31.1,41.2,22.4,998.8,71,2.7,9.8,22.2
31.9,38.1,24.6,998.5,74,3.2,5.9,11.1
31.8,36.4,26.8,999.1,79,3.2,5.2,18.3
32.9,37,27.2,998.1,71,3.7,9.4,18.3
34.8,40,28.2,996.6,63,3.1,13.9,27.8
34.2,38,28.8,997.9,69,3.2,5.2,9.4
36,40,30,995.7,64,2.6,7,11.1
36.2,42,30.4,995.9,63,2.7,10.7,25.9
30.9,36.2,26.4,1000.6,77,3.5,11.9,18.3
31.6,36,26.9,1000.4,79,2.3,9.8,18.3
33.1,38,27.4,996,68,3.1,7.8,11.1
32.4,37,26.2,997.2,64,3.5,8.1,11.1
33.9,38.2,27.6,998.5,69,2.3,7.2,14.8
32.7,38.5,28.8,999.2,73,1.9,8.3,14.8
29.6,36.4,23.4,998.1,85,1.8,7,13
28.8,35.2,24.8,997.5,81,2.7,5.2,7.6
26.3,32.6,23.5,1000.9,93,2.1,6.7,22.2
31.7,35.4,25.9,1004.8,80,2.6,5.2,9.4
32.7,36,26.8,1003.2,74,3.2,6.1,16.5
34.1,38,28.2,1000.8,69,3.7,10.4,18.3
31.5,34,27.3,1000.7,79,2.4,5.7,9.4
30.7,36.2,26.8,1000.3,80,2.1,6.9,14.8
33,37,26.2,997.5,69,3.4,8.5,22.2
33.5,37,28.4,993,70,3.5,11.1,18.3
33.1,37.5,27.6,1000.1,70,2.9,10.2,16.5
33.9,37.4,28.1,997.4,69,3.2,5,9.4
31.3,37.6,26.2,997.9,81,2.7,4.8,11.1
26.8,29,25,996.6,97,1.9,5.9,13
29.7,32,25.4,995.9,86,2.7,7.4,9.4
31.7,35,26.4,996.7,79,2.9,6.9,13
26.6,35,25,998.9,98,1.9,6.9,18.3
26.2,29,24.1,1001.2,97,2.1,5.4,11.1
30.7,35,24.2,1002,76,3.7,7.8,14.8
30,33,25.8,1003.1,78,3.2,6.3,14.8
31.3,34,26.5,1004.2,71,3.4,8.1,14.8
31.8,35,26.2,1002.4,67,3.7,8.7,13
29.4,33,25.5,1003.1,75,3.5,10.6,14.8
30.9,35,24.8,1004.6,67,3.9,9.8,13
31.3,35,25.3,1005.9,72,3.5,3.9,11.1
32,35,27.5,1006.7,72,2.7,8.3,18.3
29.7,35.5,25.8,1003.2,80,2.9,3.3,18.3
31.3,35.2,25.1,1003.5,71,2.9,4.1,11.1
31.5,35.4,26.1,1003.3,72,2.9,3.1,5.4
32.8,37.3,26.6,1003.6,67,2.7,2.4,11.1
32.7,37,27.5,1002.8,70,2.9,2,7.6
32.7,37.2,26,1002.6,66,2.9,3.9,9.4
33.3,38,28,1000.7,63,3.2,3.7,9.4
32.9,37.3,26.6,1000.2,64,3.2,4.3,9.4
32.9,37,26.6,999.6,66,2.7,3.5,9.4
32.1,37.2,25.4,1001.4,58,3.5,6.3,14.8
30.3,37.4,24.3,1002.7,62,3.2,8.5,18.3
31.1,36,23.2,1005.4,56,4,6.1,16.5
30.5,37,21.9,1004,53,3.2,8.5,16.5
29.9,36.7,20.6,1004.9,58,3.4,4.8,16.5
29.5,36.4,20.3,1006.3,54,3.5,4.8,7.6
29.3,36.4,18.6,1009.1,56,3.4,4.3,16.5
28.9,36,19.1,1008.9,58,2.9,4.3,9.4
28.9,35.6,19.2,1009,58,2.7,2,7.6
29.3,35.4,19.8,1005.6,66,2.3,1.3,7.6
30,35.4,23.7,1007.3,65,1.9,1.1,5.4
28.1,35,20.2,1007.5,54,2.9,1.3,7.6
25.4,34.7,16,1007.1,52,2.4,3.3,13
25.7,34,13.7,1008.4,49,2.9,3,9.4
26.6,35,14.3,1008.1,48,2.9,2.6,9.4
25.8,33.2,13.8,1011,60,2.3,0.2,3.5
24.9,33.9,15,1011.6,57,1.8,2.4,9.4
24.2,32.8,14.4,1012.1,54,1.8,5,16.5
23.3,31.4,13,1013.3,53,1.8,7.6,16.5
22.1,31,11.4,1013.8,52,1.6,8.1,16.5
19.1,30.6,10.8,1014,61,2.1,4.8,13
19.7,30.2,10,1013.8,62,1.9,2.6,11.1
19.4,30.9,11.8,1017.8,70,0.5,2.2,14.8
18.4,30,11.2,1018.2,74,0.5,0.9,3.5
18.7,29.6,10,1016.3,75,0.3,2,5.4
