Day,T,TM,Tm,SLP,H,VV,V,VM
1,11.4,20,4.2,1022.2,78,0.8,2.8,7.6
2,12.4,20.2,5,1020.6,78,0.5,2,7.6
3,13.5,20.8,5.4,1018.5,74,0.6,2,9.4
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,17,21.1,13.5,1015.8,87,1,10.6,14.8
8,15.7,20.3,14.4,1015.6,99,1,9.4,14.8
9,13.6,16.4,12,1015.4,97,1,7.6,14.8
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,11,18.1,5.8,1017.8,89,0.2,0,-
14,10.7,16.7,6,1018.9,90,0.3,1.1,5.4
15,10.5,15.4,6.1,1020.5,90,0.3,4.3,7.6
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,12.5,17.8,7.4,1015.7,83,0.5,2.2,11.1
20,12.8,18.2,9.8,1012.1,88,0.3,3.7,7.6
21,14.1,19.4,7.6,1011.6,82,0.5,3.7,9.4
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,10.1,14.8,6.2,1015.5,88,0.5,5.9,11.1
26,11.8,16.2,5.8,1016.3,85,0.8,4.6,11.1
27,12.5,18.2,6.3,1017,78,1.6,8,14.8
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,13.9,22.2,6.4,1012.1,82,0.6,4.4,13
1,14.2,22.2,7,1011.3,81,0.5,5.7,11.1
2,13.8,20.8,6.6,1011.9,88,1.1,9.1,14.8
3,13.1,23.4,11,1007.2,84,0.8,13.1,22.2
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,18.7,26,8.8,1014.5,62,2.3,3.1,9.4
8,19.2,26.1,11.5,1012.9,69,1.6,3.1,9.4
9,16.5,26,11.8,1016.9,76,1.3,6.7,14.8
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,18.3,28,7,1013.8,54,2.3,3,7.6
14,18.2,27,8.9,1013.6,52,2.1,3.3,11.1
15,19.4,27,9.4,1012.9,52,2.4,4.3,11.1
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,19.6,28.4,10.8,1012.1,51,2.6,5.6,14.8
20,18.6,25.6,11.4,1008,59,2.3,12.4,20.6
21,18.6,26,10,1009.5,45,3.4,6.3,16.5
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,21,27.2,12.5,1015.2,63,1.8,6.1,13
26,19.2,27.9,13.4,1017.7,64,2.6,13,25.9
27,19.3,25,12.1,1017.6,60,3.1,4.6,13
28,,,,,,,,
1,18.8,25.3,9.6,1016.4,59,2.6,5.2,13
2,19.9,27,11.2,1015.9,61,1.9,5,14.8
3,22.7,29,13.7,1015.5,56,2.7,4.8,11.1
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,21.8,28.6,14.3,1014.4,64,1.8,3,9.4
8,21.8,30.6,13.6,1013.2,62,1.9,4.6,11.1
9,22.8,30.8,14.2,1012.4,50,1.9,5.6,11.1
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
